pid,old-pid,gid,unique gid,goaldisrupted,old-cid,goal-statement,Goal categories,cid,uniquecid,Goal scope,rep-id,Situation that occurred ,Duplicate?,notes- circumstance,barrier or event,circumstance,socio-ecological layer,socio_ecological,Repeating for another goal,Life Event?,Pre-existing?,how-long,notes,frequency,notes,,affect-wellbeing,affect-logistical,Disruption labor produced,Disruption labor produced,Disruption labor produced,affect-goal: how did circumstance affect your goal? (answer only if ,change- how did you change your goal in response to circumstance,Goal changes,notes,,,,,
S93,S100,goal2,S93goal2,,circ1,Manage anxiety with therapy at least 2x a month,Mental health and wellbeing,circ1,S93goal2circ1,Medium term,,Work,No,,barrier-unconfident,Obligations such as school,Living and Working Conditions,Living/Working,No,No,Yes,multiple days to a week,,every other week,,,increased stress from schoolwork,Destress by spending some time alone,Emotional,,,lack of time,I plan and make appts ahead of time to ensure that I can go to sessions,Changed environment,,,,,,
S61,S64,goal1,S61goal1,,circ2,saving up 15k,Financial Stability/Safety,circ2,S61goal1circ2,Long term,,Finances,No,,event-external,Our rent is going up so it will be more difficult to save money,Psychosocial Factors,Socioeconomic/Political,,No,No,multiple weeks to a month,,monthly,,,Its giving me a lot of stress and anxiety to the point that i have trouble sleeping and need to take medicine to fall asleep,NA,Emotional,Logistical,,NA,"Like i said in the previous answer it will take more time than expected, It will be more difficult to save up",Changed quantity,,,,,,
S93,S100,goal3,S93goal3,,circ1,Increase social connectedness by making friends,Social connection,circ1,S93goal3circ1,Aspirational,,Social interaction - other,No,,barrier-unconfident,Lack of exposure to other individuals my age outside of school,Living and Working Conditions,Social/Community,No,No,No,longer than a year,,weekly,,,"increased stress, loneliness, and depression",na,Emotional,,,It made it difficult to meet people and become friends with them,I joined a local bookclub,Changed/ adopted support,,,,,,
S93,S100,goal1,S93goal1,,circ2,Workout 4 times a week,Physical Activity,circ2,S93goal1circ2,Medium term,,Travel,No,,barrier-unconfident,did not have access to equipment or space,Psychosocial Factors,Living/Working,No,No,No,more than half a day to a day,,weekly,,,did not affect it,none,No labor- positive disruption,,,na,I did not workout,Skipped,,,,,,
S94,S101,goal1,S94goal1,,circ1,Shedding body fat / becoming more toned,Physical Activity,circ1,S94goal1circ1,Long term,,Sleep,No,,barrier-unconfident,Not sleeping well the night before so I'm tired in the morning and less motivated to gym,Behaviors and Biological Factors,Behavior/Biological,No,No,No,multiple days to a week,,monthly,,,I felt sluggish; brain fog hindered my response times and faith in my decision making skills,drink more caffeine,Emotional,,,I felt less motivated to do higher weights and more repetitions in my sets at the gym. Sometimes I would do 1 less workout (3 less sets).,Did a shorter workout,Changed quantity,,,,,,
S94,S101,goal1,S94goal1,,circ2,Shedding body fat / becoming more toned,Physical Activity,circ2,S94goal1circ2,Long term,,Diet,No,,barrier-unconfident,"Not getting enough protein in my diet, leading me to snack on high-calorie low-nutrition foods",Behaviors and Biological Factors,Behavior/Biological,No,No,No,multiple days to a week,,monthly,,,"I felt more fatigued, craved food more often",Ate more protein bars,Emotional,,,Snacking more = not staying in a caloric deficit,Ate half my breakfast before my workout and half after so I would be eating less calories overall but staying satiated,Changed quantity,,,,,,
S94,S101,goal2,S94goal2,,circ1,Expanding my knowledge,Education/Learning,circ1,S94goal2circ1,Long term,,Internal - Feelings and thoughts,No,,barrier-unconfident,Feeling unmotivated to start,Psychosocial Factors,Psychosocial,No,No,No,more than half a day to a day,,every other week,,,"I felt like a loser, very guilty for wasting the days scrolling rather than learning something interesting / beneficial to me","would take walks outside to improve my mood, then end my walk at the library so I could go inside to study",Emotional,Logistical,,"I would rot in bed scrolling on social media, micro-learning about topics but not fully immersing myself in the learning experience. It felt very unsatisfying mentally",made my learning goals simpler / broke them down into more achievable steps,Changed environment,,,,,,
S94,S101,goal3,S94goal3,,circ1,Expanding my social and professional network,Social connection,circ1,S94goal3circ1,Long term,,Social interactions - negative,No,,barrier-unconfident,traffic,Psychosocial Factors,Living/Working,No,No,No,more than an hour to half a day,,monthly,,,traffic drains me emotionally; I feel physically tired / bored after sitting in traffic for 45+ min,deep breathing exercises to calm down,Emotional,Logistical,Physical,prevented me from physically making it to the meet-up location; the mental load of sitting in traffic + cost of gas was too much to bear,scheduled virtual coffee chats,Substituted activity,,,,,,
S94,S101,goal3,S94goal3,,circ2,Expanding my social and professional network,Social connection,circ2,S94goal3circ2,Long term,,Social interactions - negative,No,,event-external,friend cancels plans,Psychosocial Factors,Social/Community,No,No,No,more than an hour to half a day,,every other week,,,made me sad / anxious; I would question if they cancelled because they don't like me,make plans with a different person; journal about the disappointment of cancelled plans; adjust my schedule to fill the new gap in time,Emotional,Logistical,,"I would look forward to the meet-up, then be disappointed and need some time to recover from the disappointment when I would've been ready to hang out w/ a different/new person soon after the planned hangout if it had actually happened.",made plans with another friend,Substituted activity,,,,,,
S61,S64,goal2,S61goal2,,circ2,getting an apartment with my girlfriend,Social connection,circ2,S61goal2circ2,Long term,,Finances,No,,barrier-unconfident,Not being able to find apartments available,Psychosocial Factors ---> sounds like a housing market challenge,Socioeconomic/Political,,No,No,multiple months to a year,,monthly,,,I feel stressed and have a lot of anxiety,na,Emotional,,,NA,"At the moment we cant even find places to begin with, This will obviously take a long time to even find one",Changed quantity,,,,,,
S65,S68,goal1,S65goal1,,circ1,Putting my daughter through 4 years of college.,Social connection,circ1,S65goal1circ1,Long term,,Finances,No,,event-external,Rising Property Taxes and insurance premiums,Socioeconomic and Political Context,Socioeconomic/Political,,No,No,multiple weeks to a month,,every 6 months,,,"Costs rising at insane percentages, needing help from the government to make interest rates closer to normal and fair and conquer inflation",,Financial,,,"Was taking more of my monthly budget than anticipated, forcing me to direct money from other sources.",Forced to work more hours over next few weeks.,Changed quantity,,,,,,
S65,S68,goal2,S65goal2,,circ1,Setting up the final years of work before a successful retirement,Financial Stability/Safety,circ1,S65goal2circ1,Long term,,Finances,Yes,,event-external,Rising property tax costs and high interest rates on credit card debt,Socioeconomic and Political Context,Socioeconomic/Political,,No,No,longer than a year,,every 6 months,,,Puts stress on me to reach both major roles,NA,Emotional,,,NA,Perhaps extending my already late retirement rate.,Changed quantity,,,,,,
S95,S102,goal2,S95goal2,,circ1,work in a food bank,Work/Career,circ1,S95goal2circ1,Medium term,,No disruption,No,,not enough information,na,Psychosocial Factors,No response,,,,No response,,No response,,,na,na,No response,,,na,na,No response,,,,,,
S95,S102,goal1,S95goal1,,circ3,Becoming financially stable [and owning a food truck business so that my children/and family will not have to struggle in life as i am currently doing],Financial Stability/Safety,circ3,S95goal1circ3,Long term,,Internal-Skills,No,,barrier,not having enough education to get started to financial freedom,Psychosocial Factors,Socioeconomic/Political,No,No,Yes,longer than a year,single,daily,not okay,non-recurring,na,na,No response,,,na,still working on it,No change,,,,,,
S96,S103,goal1,S96goal1,,circ3,Choose a PCP and make an appointment to create a new patient-doctor relationship.,Health - other,circ3,S96goal1circ3,Long term,,Internal - Feelings and thoughts,No,,barrier-unconfident,Phone calls are still incredibly difficult to make.,Psychosocial Factors,Psychosocial,No,No,No,more than half a day to a day,,weekly,,,It's made me anxious and ashamed for letting this prevent me from preventing my goal.,I've practiced conversations in my head so I have some type of script to follow once I make the calls.,Emotional,Logistical,,I have to call to make an appointment. Putting it off means I cannot move forward with my goal.,I've been avoiding calling doctor's offices to make appointments due to phone anxiety.,Skipped,,,,,,
S96,S103,goal1,S96goal1,S96goal2,circ1,Choose a PCP and make an appointment to create a new patient-doctor relationship.,Health - other,circ1,S96goal1circ1,Long term,,Technical,No,,event-external,Health insurance website has been glitchy.,Behaviors and Biological Factors,Living/Working,No,No,No,multiple days to a week,,monthly,,,"It has prevented me from making an appointment, which has kept my chronic health issues untreated or treated by otc medications.",I had to take a five minute break after being auto-logged out and the website then refusing to let me log back in.,Logistical,,,I need the website to see which doctors are covered by my insurance and whether they're currently taking patients. Not having access to it stops the process entirely.,I waited a day to let the site sort itself out and made a list of doctors with contact info as quickly as I could.,Rescheduled,,,,,,
S79,S83,goal2,S79goal2,,circ2,buying a condo,Housing,circ1,S79goal2circ1,Long term,,Finances,No,,barrier,economy,Psychosocial Factors,Socioeconomic/Political,No,No,No,longer than a year,,yearly or less,,,none,none,No response,,,the system was bad/ realised it was too expensive,the economy kept becoming bad/ i postponed it,Changed quantity,,,,,,
S96,S103,goal3,S96goal3,,circ1,Continue reading through DBT workbook to improve mental health strategies.,Mental health and wellbeing,circ1,S96goal3circ1,Medium term,,Surroundings,No,,barrier-unconfident,I don't have a quiet space to read usually.,Psychosocial Factors,Living/Working,No,No,No,multiple months to a year,,daily,okay,recurring,"I haven't been practicing or learning new skills from the workbook, so I've been more irritable.",Did no additional tasks.,Emotional,Logistical,,It's difficult to for me to focus when the environment is loud.,I've had to keep my reading scheduled to be at night when it is quieter.,Rescheduled,,,,,,
S96,S103,goal2,S96goal2,,circ1,Exercise 30 minutes per day on exercise bike to improve walking stamina.,Physical Activity,circ1,S96goal2circ1,Medium term,,Work,No,,barrier-unconfident,I've been focusing on other tasks and neglecting exercising.,Psychosocial Factors,Psychosocial,No,No,No,multiple days to a week,,daily,,,"I feel guilty for not exercising, and I know my body needs regular exercise to be healthy.",Did no additional tasks.,Emotional,,,I've been too tired to use my exercise bike from doing other tasks.,"I have not been completing my daily exercise because I've been prioritizing other tasks, like cleaning.",Skipped,,,,,,
